case_id	gold_stem	gold_label	lemma	type_tag	shape	is_redup	category	is_valid	status	sentence	tokens_with_pos	head_desc	tail_desc	pattern_desc	insertion_desc	pattern_type	reason
1	睡觉	True	睡觉	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	昨天晚上我睡了一个好觉。	昨天/NT 晚上/NT 我/PN 睡/VV 了/AS 一个/CD 好/JJ 觉/NN 。/PU	睡/VV (token#4, lex_head=睡)	觉/NN (token#8, lex_tail=觉)	Pattern: 睡……觉 (two_tokens)	了/AS 一个/CD 好/JJ	two_tokens	split_two_tokens_V_then_N
2	洗澡	True	洗澡	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	运动完必须洗个热水澡。	运动完/VV 必须/VV 洗/VV 个/M 热水澡/NN 。/PU	洗/VV (token#3, lex_head=洗)	热水澡/NN (token#5, lex_tail=澡)	Pattern: 洗……澡 (two_tokens)	个/M	two_tokens	split_two_tokens_V_then_N
3	吃饭	True	吃饭	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	如果你还没吃完饭，就等一会儿。	如果/CS 你/PN 还/AD 没/AD 吃完/VV 饭/NN ，/PU 就/AD 等/VV 一会儿/AD 。/PU	吃完/VV (token#5, lex_head=吃)	饭/NN (token#6, lex_tail=饭)	Pattern: 吃……饭 (two_tokens)	(no insertion tokens)	two_tokens	split_two_tokens_V_then_N
4	刷牙	True	刷牙	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	医生建议每天至少刷两分钟牙。	医生/NN 建议/VV 每天/AD 至少/AD 刷/VV 两分钟/M 牙/NN 。/PU	刷/VV (token#5, lex_head=刷)	牙/NN (token#7, lex_tail=牙)	Pattern: 刷……牙 (two_tokens)	两分钟/M	two_tokens	split_two_tokens_V_then_N
5	洗脸	True	洗脸	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	早上匆匆忙忙洗了一把脸就出门了。	早上/NT 匆匆忙忙/AD 洗/VV 了/AS 一/CD 把/M 脸/NN 就/AD 出门/VV 了/AS 。/PU	洗/VV (token#3, lex_head=洗)	脸/NN (token#7, lex_tail=脸)	Pattern: 洗……脸 (two_tokens)	了/AS 一/CD 把/M	two_tokens	split_two_tokens_V_then_N
6	走路	True	走路	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	今天如果不通车，只能走着路去。	今天/NT 如果/CS 不/AD 通车/VV ，/PU 只能/AD 走/VV 着/AS 路/NN 去/VV 。/PU	走/VV (token#7, lex_head=走)	路/NN (token#9, lex_tail=路)	Pattern: 走……路 (two_tokens)	着/AS	two_tokens	split_two_tokens_V_then_N
7	跑步	True	跑步	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他在公园里跑了一会儿步。	他/PN 在/P 公园/NN 里/LC 跑/VV 了/AS 一会儿/CD 步/NN 。/PU	跑/VV (token#5, lex_head=跑)	步/NN (token#8, lex_tail=步)	Pattern: 跑……步 (two_tokens)	了/AS 一会儿/CD	two_tokens	split_two_tokens_V_then_N
8	散步	True	散步	Verb-Object	SPLIT	True	REDUP	True	TP (hit target lemma)	晚饭后我们去河边散散步。	晚饭/NN 后/LC 我们/PN 去/VV 河/NN 边/LC 散散步/VV 。/PU	散散步/VV (token#7, lex_head=散)	散散步/VV (token#7, lex_tail=步)	Pattern: 散……步 (same_token)	(inside one token; not separated)	same_token	redup_from_hfst
9	上网	True	上网	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	为了查资料，我上了两个小时网。	为了/P 查/VV 资料/NN ，/PU 我/PN 上/VV 了/AS 两个小时/NN 网/NN 。/PU	上/VV (token#6, lex_head=上)	网/NN (token#9, lex_tail=网)	Pattern: 上……网 (two_tokens)	了/AS 两个小时/NN	two_tokens	split_two_tokens_V_then_N
10	理发	True	理发	Verb-Object	SPLIT	False	SPLIT	False	FN (missed target lemma)	过年前要去理一次发。	过年/VV 前/LC 要/VV 去/VV 理/VV 一次/AD 发/VV 。/PU	理/VV (token#5, lex_head=理)	发/VV (token#7, lex_tail=发)	Pattern: 理……发 (none)	一次/AD	none	split_candidates_all_failed_pos
11	搬家	True	搬家	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	这几年如果不搬三次家就不算北漂。	这/DT 几年/NT 如果/CS 不/AD 搬/VV 三次/AD 家/NN 就/AD 不/AD 算/VV 北漂/VV 。/PU	搬/VV (token#5, lex_head=搬)	家/NN (token#7, lex_tail=家)	Pattern: 搬……家 (two_tokens)	三次/AD	two_tokens	split_two_tokens_V_then_N
12	起床	True	生病	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 起床)	生病了，难受得起不了床。	生病/VV 了/AS ，/PU 难受/VA 得/DER 起/VV 不/AD 了/VV 床/NN 。/PU	生病/VV (token#1, lex_head=生)	生病/VV (token#1, lex_tail=病)	Pattern: 生……病 (none)	(inside one token; not separated)	none	pos_ok
12	起床	True	起床	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	生病了，难受得起不了床。	生病/VV 了/AS ，/PU 难受/VA 得/DER 起/VV 不/AD 了/VV 床/NN 。/PU	起/VV (token#6, lex_head=起)	床/NN (token#9, lex_tail=床)	Pattern: 起……床 (two_tokens)	不/AD 了/VV	two_tokens	split_two_tokens_V_then_N
13	看书	True	看书	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他在图书馆安静地看了半天书。	他/PN 在/P 图书馆/NN 安静/VA 地/DEV 看/VV 了/AS 半天/AD 书/NN 。/PU	看/VV (token#6, lex_head=看)	书/NN (token#9, lex_tail=书)	Pattern: 看……书 (two_tokens)	了/AS 半天/AD	two_tokens	split_two_tokens_V_then_N
14	写字	True	写字	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	练习了十年，终于写了一手好字。	练习/VV 了/AS 十年/NT ，/PU 终于/AD 写/VV 了/AS 一手/NN 好字/NN 。/PU	写/VV (token#6, lex_head=写)	好字/NN (token#9, lex_tail=字)	Pattern: 写……字 (two_tokens)	了/AS 一手/NN	two_tokens	split_two_tokens_V_then_N
15	开门	True	开门	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	有人敲门，快去开一下门。	有人/PN 敲门/VV ，/PU 快/AD 去/VV 开/VV 一下/AD 门/NN 。/PU	开/VV (token#6, lex_head=开)	门/NN (token#8, lex_tail=门)	Pattern: 开……门 (two_tokens)	一下/AD	two_tokens	split_two_tokens_V_then_N
16	关灯	True	关灯	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	记得关了灯再睡觉。	记得/VV 关/VV 了/AS 灯/NN 再/AD 睡觉/VV 。/PU	关/VV (token#2, lex_head=关)	灯/NN (token#4, lex_tail=灯)	Pattern: 关……灯 (two_tokens)	了/AS	two_tokens	split_two_tokens_V_then_N
16	关灯	True	睡觉	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 关灯)	记得关了灯再睡觉。	记得/VV 关/VV 了/AS 灯/NN 再/AD 睡觉/VV 。/PU	睡觉/VV (token#6, lex_head=睡)	睡觉/VV (token#6, lex_tail=觉)	Pattern: 睡……觉 (none)	(inside one token; not separated)	none	pos_ok
17	做饭	True	做饭	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	今天妈妈做了一顿丰盛的晚饭。	今天/NT 妈妈/NN 做/VV 了/AS 一/CD 顿/M 丰盛/JJ 的/DEG 晚饭/NN 。/PU	做/VV (token#3, lex_head=做)	晚饭/NN (token#9, lex_tail=饭)	Pattern: 做……饭 (two_tokens)	了/AS 一/CD 顿/M 丰盛/JJ 的/DEG	two_tokens	split_two_tokens_V_then_N
18	打球	True	打球	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	周末约朋友去打了一场球。	周末/NT 约/VV 朋友/NN 去/VV 打/VV 了/AS 一/CD 场/M 球/NN 。/PU	打/VV (token#5, lex_head=打)	球/NN (token#9, lex_tail=球)	Pattern: 打……球 (two_tokens)	了/AS 一/CD 场/M	two_tokens	split_two_tokens_V_then_N
19	抽烟	True	抽烟	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	压力大的时候他抽了一根烟。	压力/NN 大/VA 的/DEC 时候/NN 他/PN 抽/VV 了/AS 一/CD 根/M 烟/NN 。/PU	抽/VV (token#6, lex_head=抽)	烟/NN (token#10, lex_tail=烟)	Pattern: 抽……烟 (two_tokens)	了/AS 一/CD 根/M	two_tokens	split_two_tokens_V_then_N
20	见面	True	见面	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	我们虽然同城，但也只见过一面。	我们/PN 虽然/CS 同城/VV ，/PU 但/AD 也/AD 只/AD 见/VV 过/AS 一面/NN 。/PU	见/VV (token#8, lex_head=见)	一面/NN (token#10, lex_tail=面)	Pattern: 见……面 (two_tokens)	过/AS	two_tokens	split_two_tokens_V_then_N
21	帮忙	True	帮忙	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	你真是帮了我一个大忙。	你/PN 真是/AD 帮/VV 了/AS 我/PN 一个/CD 大忙/NN 。/PU	帮/VV (token#3, lex_head=帮)	大忙/NN (token#7, lex_tail=忙)	Pattern: 帮……忙 (two_tokens)	了/AS 我/PN 一个/CD	two_tokens	split_two_tokens_V_then_N
22	聊天	True	聊天	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	和老朋友见面，聊了一整天。	和/P 老朋友/NN 见面/VV ，/PU 聊/VV 了/AS 一整天/NN 。/PU	聊/VV (token#5, lex_head=聊)	一整天/NN (token#7, lex_tail=天)	Pattern: 聊……天 (two_tokens)	了/AS	two_tokens	split_two_tokens_V_then_N
22	聊天	True	见面	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 聊天)	和老朋友见面，聊了一整天。	和/P 老朋友/NN 见面/VV ，/PU 聊/VV 了/AS 一整天/NN 。/PU	见面/VV (token#3, lex_head=见)	见面/VV (token#3, lex_tail=面)	Pattern: 见……面 (none)	(inside one token; not separated)	none	pos_ok
23	说话	True	说话	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	请你帮我说两句好话。	请/VV 你/PN 帮/VV 我/PN 说/VV 两句/CD 好话/NN 。/PU	说/VV (token#5, lex_head=说)	好话/NN (token#7, lex_tail=话)	Pattern: 说……话 (two_tokens)	两句/CD	two_tokens	split_two_tokens_V_then_N
24	吵架	True	吵架	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	因为一点小事，他们吵了一架。	因为/P 一点/CD 小事/NN ，/PU 他们/PN 吵/VV 了/AS 一/CD 架/NN 。/PU	吵/VV (token#6, lex_head=吵)	架/NN (token#9, lex_tail=架)	Pattern: 吵……架 (two_tokens)	了/AS 一/CD	two_tokens	split_two_tokens_V_then_N
25	打架	True	打架	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	两只猫在屋顶上打了一架。	两只/CD 猫/NN 在/P 屋顶/NN 上/LC 打/VV 了/AS 一/CD 架/NN 。/PU	打/VV (token#6, lex_head=打)	架/NN (token#9, lex_tail=架)	Pattern: 打……架 (two_tokens)	了/AS 一/CD	two_tokens	split_two_tokens_V_then_N
26	打仗	True	打仗	Verb-Object	WHOLE	False	WHOLE	True	TP (hit target lemma)	那个年代，整天都在打仗。	那个/DT 年代/NN ，/PU 整天/AD 都/AD 在/AD 打仗/VV 。/PU	打仗/VV (token#7, lex_head=打)	打仗/VV (token#7, lex_tail=仗)	Pattern: 打……仗 (none)	(inside one token; not separated)	none	pos_ok
27	生气	True	生气	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	别再生他的气了。	别/AD 再生/VV 他/PN 的/DEG 气/NN 了/SP 。/PU	再生/VV (token#2, lex_head=生)	气/NN (token#5, lex_tail=气)	Pattern: 生……气 (two_tokens)	他/PN 的/DEG	two_tokens	split_two_tokens_V_then_N
28	发火	True	发火	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	领导在会上发了一通火。	领导/NN 在/P 会上/NN 发/VV 了/AS 一/CD 通/M 火/NN 。/PU	发/VV (token#4, lex_head=发)	火/NN (token#8, lex_tail=火)	Pattern: 发……火 (two_tokens)	了/AS 一/CD 通/M	two_tokens	split_two_tokens_V_then_N
29	道歉	True	道歉	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	做错事就该给人家道一个歉。	做错事/VV 就/AD 该/VV 给/P 人家/PN 道/VV 一个/CD 歉/NN 。/PU	道/VV (token#6, lex_head=道)	歉/NN (token#8, lex_tail=歉)	Pattern: 道……歉 (two_tokens)	一个/CD	two_tokens	split_two_tokens_V_then_N
30	道谢	True	道谢	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	临走时，他特意向主人道了一声谢。	临走/VV 时/LC ，/PU 他/PN 特意/AD 向/P 主人/NN 道/VV 了/AS 一/CD 声/M 谢/NN 。/PU	道/VV (token#8, lex_head=道)	谢/NN (token#12, lex_tail=谢)	Pattern: 道……谢 (two_tokens)	了/AS 一/CD 声/M	two_tokens	split_two_tokens_V_then_N
31	拜年	True	拜年	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	大年初一去给长辈拜个年。	大年初一/NT 去/VV 给/P 长辈/NN 拜/VV 个/M 年/NN 。/PU	拜/VV (token#5, lex_head=拜)	年/NN (token#7, lex_tail=年)	Pattern: 拜……年 (two_tokens)	个/M	two_tokens	split_two_tokens_V_then_N
32	握手	True	握手	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	大家见面互相握了一下手。	大家/PN 见面/VV 互相/AD 握/VV 了/AS 一下/AD 手/NN 。/PU	握/VV (token#4, lex_head=握)	手/NN (token#7, lex_tail=手)	Pattern: 握……手 (two_tokens)	了/AS 一下/AD	two_tokens	split_two_tokens_V_then_N
32	握手	True	见面	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 握手)	大家见面互相握了一下手。	大家/PN 见面/VV 互相/AD 握/VV 了/AS 一下/AD 手/NN 。/PU	见面/VV (token#2, lex_head=见)	见面/VV (token#2, lex_tail=面)	Pattern: 见……面 (none)	(inside one token; not separated)	none	pos_ok
33	鼓掌	True	鼓掌	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	观众为精彩的表演鼓了鼓掌。	观众/NN 为/P 精彩/VA 的/DEC 表演/NN 鼓/VV 了/AS 鼓掌/NN 。/PU	鼓/VV (token#6, lex_head=鼓)	鼓掌/NN (token#8, lex_tail=掌)	Pattern: 鼓……掌 (two_tokens)	了/AS	two_tokens	split_two_tokens_V_then_N
33	鼓掌	True	鼓掌	Verb-Object	WHOLE	False	WHOLE	True	TP (hit target lemma)	观众为精彩的表演鼓了鼓掌。	观众/NN 为/P 精彩/VA 的/DEC 表演/NN 鼓/VV 了/AS 鼓掌/NN 。/PU	鼓掌/NN (token#8, lex_head=鼓)	鼓掌/NN (token#8, lex_tail=掌)	Pattern: 鼓……掌 (none)	(inside one token; not separated)	none	pos_ok
34	捣乱	True	捣乱	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	别在他工作的时候捣他的乱。	别/AD 在/P 他/PN 工作/VV 的/DEC 时候/NN 捣/VV 他/PN 的/DEG 乱/NN 。/PU	捣/VV (token#7, lex_head=捣)	乱/NN (token#10, lex_tail=乱)	Pattern: 捣……乱 (two_tokens)	他/PN 的/DEG	two_tokens	split_two_tokens_V_then_N
35	开玩笑	True	开玩笑	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	我只是跟你开了一个玩笑。	我/PN 只是/AD 跟/P 你/PN 开/VV 了/AS 一个/CD 玩笑/NN 。/PU	开/VV (token#5, lex_head=开)	玩笑/NN (token#8, lex_tail=玩笑)	Pattern: 开……玩笑 (two_tokens)	了/AS 一个/CD	two_tokens	split_two_tokens_V_then_N
36	撒谎	True	撒谎	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他脸红了，显然是撒了一个谎。	他/PN 脸红/VV 了/SP ，/PU 显然/AD 是/VC 撒/VV 了/AS 一个/CD 谎/NN 。/PU	撒/VV (token#7, lex_head=撒)	谎/NN (token#10, lex_tail=谎)	Pattern: 撒……谎 (two_tokens)	了/AS 一个/CD	two_tokens	split_two_tokens_V_then_N
37	吹牛	True	吹牛	Verb-Object	WHOLE	False	WHOLE	True	TP (hit target lemma)	别听他瞎说，他又在吹牛。	别/AD 听/VV 他/PN 瞎说/VV ，/PU 他/PN 又/AD 在/AD 吹牛/VV 。/PU	吹牛/VV (token#9, lex_head=吹)	吹牛/VV (token#9, lex_tail=牛)	Pattern: 吹……牛 (none)	(inside one token; not separated)	none	pos_ok
38	告状	True	告状	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他去老师那里告了你一状。	他/PN 去/VV 老师/NN 那里/PN 告/VV 了/AS 你/PN 一/CD 状/NN 。/PU	告/VV (token#5, lex_head=告)	状/NN (token#9, lex_tail=状)	Pattern: 告……状 (two_tokens)	了/AS 你/PN 一/CD	two_tokens	split_two_tokens_V_then_N
39	请客	True	请客	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	为了庆祝升职，他请了一次客。	为了/P 庆祝/VV 升职/NN ，/PU 他/PN 请/VV 了/AS 一次/AD 客/NN 。/PU	请/VV (token#6, lex_head=请)	客/NN (token#9, lex_tail=客)	Pattern: 请……客 (two_tokens)	了/AS 一次/AD	two_tokens	split_two_tokens_V_then_N
40	结婚	True	结婚	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	不知道他结没结婚。	不/AD 知道/VV 他/PN 结/VV 没/AD 结婚/VV 。/PU	结婚/VV (token#6, lex_head=结)	结婚/VV (token#6, lex_tail=婚)	Pattern: 结……婚 (same_token)	(inside one token; not separated)	same_token	split_same_token_fallback_whole_pos
40	结婚	True	结婚	Verb-Object	WHOLE	False	WHOLE	True	TP (hit target lemma)	不知道他结没结婚。	不/AD 知道/VV 他/PN 结/VV 没/AD 结婚/VV 。/PU	结婚/VV (token#6, lex_head=结)	结婚/VV (token#6, lex_tail=婚)	Pattern: 结……婚 (none)	(inside one token; not separated)	none	pos_ok
41	离婚	True	离婚	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	听说邻居离了两次婚。	听说/VV 邻居/NN 离/VV 了/AS 两次/CD 婚/NN 。/PU	离/VV (token#3, lex_head=离)	婚/NN (token#6, lex_tail=婚)	Pattern: 离……婚 (two_tokens)	了/AS 两次/CD	two_tokens	split_two_tokens_V_then_N
42	订婚	True	订婚	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	他们刚刚订完婚。	他们/PN 刚刚/AD 订完/VV 婚/NN 。/PU	订完/VV (token#3, lex_head=订)	婚/NN (token#4, lex_tail=婚)	Pattern: 订……婚 (two_tokens)	(no insertion tokens)	two_tokens	split_two_tokens_V_then_N
43	恋爱	True	谈恋爱	Verb-Object	SPLIT	False	SPLIT	True	FP (spurious lemma; gold target is 恋爱)	大学期间谈了一场轰轰烈烈的恋爱。	大学/NN 期间/NN 谈/VV 了/AS 一/CD 场/M 轰轰烈烈/VV 的/DEC 恋爱/NN 。/PU	谈/VV (token#3, lex_head=谈)	恋爱/NN (token#9, lex_tail=恋爱)	Pattern: 谈……恋爱 (two_tokens)	了/AS 一/CD 场/M 轰轰烈烈/VV 的/DEC	two_tokens	split_two_tokens_V_then_N
44	分手	True	分手	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	因为性格不合，他们分了一次手。	因为/P 性格/NN 不合/VV ，/PU 他们/PN 分/VV 了/AS 一次/AD 手/NN 。/PU	分/VV (token#6, lex_head=分)	手/NN (token#9, lex_tail=手)	Pattern: 分……手 (two_tokens)	了/AS 一次/AD	two_tokens	split_two_tokens_V_then_N
45	吃醋	True	吃醋	Verb-Object	SPLIT	False	SPLIT	True	TP (hit target lemma)	看到男朋友和别人说话，她吃谁的醋？	看到/VV 男朋友/NN 和/P 别人/PN 说话/VV ，/PU 她/PN 吃/VV 谁/PN 的/DEG 醋/NN ？/PU	吃/VV (token#8, lex_head=吃)	醋/NN (token#11, lex_tail=醋)	Pattern: 吃……醋 (two_tokens)	谁/PN 的/DEG	two_tokens	split_two_tokens_V_then_N
45	吃醋	True	说话	Verb-Object	WHOLE	False	WHOLE	True	FP (spurious lemma; gold target is 吃醋)	看到男朋友和别人说话，她吃谁的醋？	看到/VV 男朋友/NN 和/P 别人/PN 说话/VV ，/PU 她/PN 吃/VV 谁/PN 的/DEG 醋/NN ？/PU	说话/VV (token#5, lex_head=说)	说话/VV (token#5, lex_tail=话)	Pattern: 说……话 (none)	(inside one token; not separated)	none	pos_ok
