sent_id	gold_stem	gold_label	error_type	sentence	lemma	type_tag	shape	head	tail	hfst_analysis	insertion	insertion_tagged	insertion_type	detected_error	confidence_score	tokens_pos	head_token_idx	tail_token_idx	head_pos	tail_pos	pos_pattern	pos_validation
105	丢脸	True		在这么多人面前摔倒，真是丢尽了脸。	丢脸	Verb-Object	SPLIT	丢	脸	丢脸+Lemma+Verb-Object+SPLIT+Head:丢+Tail:脸	尽MOD了ASPECT	尽:MOD+了:ASPECT	ASPECT		1.0	在/P 这么/AD 多/CD 人/NN 面前/LC 摔倒/VV ，/PU 真是/AD 丢尽/VV 了/AS 脸/NN 。/PU	8	10	VV	NN	separate_tokens	pos_valid
106	接吻	True		他们当街接了个法式湿吻。	接吻	Verb-Object	SPLIT	接	吻	接吻+Lemma+Verb-Object+SPLIT+Head:接+Tail:吻	了ASPECT个CLF法式湿	了:ASPECT+个:CLF	ASPECT		0.4	他们/PN 当街/AD 接/VV 了/AS 个/M 法式/JJ 湿/NN 吻/NN 。/PU	2	7	VV	NN	separate_tokens	pos_valid
107	开枪	True		嫌疑人对着沙滩上聚集的人群开了三枪。	开枪	Verb-Object	SPLIT	开	枪	开枪+Lemma+Verb-Object+SPLIT+Head:开+Tail:枪	了ASPECT三NUM	了:ASPECT+三:NUM	ASPECT		1.0	嫌疑人/NN 对着/P 沙滩/NN 上/LC 聚集/VV 的/DEC 人群/NN 开/VV 了/AS 三枪/NN 。/PU	7	9	VV	NN	separate_tokens	pos_valid
108	受骗	True		因为贪便宜，老人受了一次骗。	受骗	Verb-Object	SPLIT	受	骗	受骗+Lemma+Verb-Object+SPLIT+Head:受+Tail:骗	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	因为/P 贪便宜/VV ，/PU 老人/NN 受/VV 了/AS 一次/CD 骗/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
109	挨批	True		工作没做好，挨了一顿批。	挨批	Verb-Object	SPLIT	挨	批	挨批+Lemma+Verb-Object+SPLIT+Head:挨+Tail:批	了ASPECT一NUM顿CLF	了:ASPECT+一:NUM+顿:CLF	ASPECT_QUANT		1.0	工作/NN 没/AD 做好/VV ，/PU 挨/VV 了/AS 一/CD 顿/M 批/NN 。/PU	4	8	VV	NN	separate_tokens	pos_valid
110	干杯	True		为了我们的友谊，干了这杯！	干杯	Verb-Object	SPLIT	干	杯	干杯+Lemma+Verb-Object+SPLIT+Head:干+Tail:杯	了ASPECT这DEM	了:ASPECT+这:DEM	ASPECT		1.0	为了/P 我们/PN 的/DEG 友谊/NN ，/PU 干/VV 了/AS 这/DT 杯/M ！/PU	5	8	VV	M	separate_tokens	pos_valid
111	革命	True		如果再不改革，就是革自己的命。	革命	Verb-Object	SPLIT	革	命	革命+Lemma+Verb-Object+SPLIT+Head:革+Tail:命	，就是革自PRO己PRO的DE	自:PRO+己:PRO+的:DE	PRONOUN_DE		0.42857142857142855	如果/CS 再不/AD 改革/VV ，/PU 就/AD 是/VC 革/VV 自己/PN 的/DEG 命/NN 。/PU	2	9	VV	NN	separate_tokens	pos_valid
112	造反	True		这孩子真不听话，是要造谁的反？	造反	Verb-Object	SPLIT	造	反	造反+Lemma+Verb-Object+SPLIT+Head:造+Tail:反	谁PRO的DE	谁:PRO+的:DE	PRONOUN_DE		1.0	这/DT 孩子/NN 真/AD 不/AD 听话/VV ，/PU 是/VC 要/VV 造/VV 谁/PN 的/SP 反/AD ？/PU	8	11	VV	AD	separate_tokens	pos_override_by_confidence:1.00;original:tail_pos_blacklisted:AD
113	退休	True		还没到年纪，他就退了休。	退休	Verb-Object	SPLIT	退	休	退休+Lemma+Verb-Object+SPLIT+Head:退+Tail:休	了ASPECT	了:ASPECT	ASPECT		1.0	还/AD 没/AD 到/VV 年纪/NN ，/PU 他/PN 就/AD 退/VV 了/AS 休/VV 。/PU	7	9	VV	VV	separate_tokens	pos_valid
114	出事	True		他们家出了点事。	出事	Verb-Object	SPLIT	出	事	出事+Lemma+Verb-Object+SPLIT+Head:出+Tail:事	了ASPECT点	了:ASPECT	ASPECT		0.5	他们/PN 家/NN 出/VV 了/AS 点/M 事/NN 。/PU	2	5	VV	NN	separate_tokens	pos_valid
115	把关	True		质量问题一定要把好关。	把关	Verb-Object	SPLIT	把	关	把关+Lemma+Verb-Object+SPLIT+Head:把+Tail:关	好MOD	好:MOD	MODIFIER		1.0	质量/NN 问题/NN 一定/AD 要/VV 把好/VV 关/NN 。/PU	4	5	VV	NN	separate_tokens	pos_valid
116	施肥	True		春天到了，给庄稼施了一遍肥。	施肥	Verb-Object	SPLIT	施	肥	施肥+Lemma+Verb-Object+SPLIT+Head:施+Tail:肥	了ASPECT一NUM遍CLF	了:ASPECT+一:NUM+遍:CLF	ASPECT_QUANT		1.0	春天/NT 到/VV 了/AS ，/PU 给/P 庄稼/NN 施/VV 了/AS 一遍/CD 肥/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
117	倒霉	True		出门踩到泥，真是倒了大霉。	倒霉	Verb-Object	SPLIT	倒	霉	倒霉+Lemma+Verb-Object+SPLIT+Head:倒+Tail:霉	了ASPECT大MOD	了:ASPECT+大:MOD	ASPECT		1.0	出门/VV 踩到/VV 泥/NN ，/PU 真是/AD 倒/VV 了/AS 大霉/NN 。/PU	5	7	VV	NN	separate_tokens	pos_valid
118	提醒	True		谢谢你，真是给我提了个醒。	提醒	PseudoV-O	SPLIT	提	醒	提醒+Lemma+PseudoV-O+SPLIT+Head:提+Tail:醒	了ASPECT个CLF	了:ASPECT+个:CLF	ASPECT		1.0	谢谢/VV 你/PN ，/PU 真是/AD 给/P 我/PN 提/VV 了/AS 个/M 醒/NN 。/PU	6	9	VV	NN	separate_tokens	pos_valid
119	出恭	True		皇帝上朝前出了一次恭。	出恭	PseudoV-O	SPLIT	出	恭	出恭+Lemma+PseudoV-O+SPLIT+Head:出+Tail:恭	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	皇帝/NN 上朝/VV 前/LC 出/VV 了/AS 一次/AD 恭/NN 。/PU	3	6	VV	NN	separate_tokens	pos_valid
120	将军	True		这一步棋真是将了他一军。	将军	PseudoV-O	SPLIT	将	军	将军+Lemma+PseudoV-O+SPLIT+Head:将+Tail:军	了ASPECT他PRO一NUM	了:ASPECT+他:PRO+一:NUM	ASPECT		1.0	这/DT 一/CD 步/M 棋/NN 真是/AD 将/VV 了/AS 他/PN 一/CD 军/NN 。/PU	5	9	VV	NN	separate_tokens	pos_valid
121	学习	True		周末准备在家学三小时习。	学习	PseudoV-O	SPLIT	学	习	学习+Lemma+PseudoV-O+SPLIT+Head:学+Tail:习	三NUM小MOD时TIME	三:NUM+小:MOD+时:TIME	MODIFIER		1.0	周末/NT 准备/VV 在家/VV 学/VV 三小时/NN 习/VV 。/PU	3	5	VV	VV	separate_tokens	pos_valid
122	慷慨	True		这些贪官都是在慷国家之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨	国家之DE	之:DE	UNKNOWN		0.3333333333333333	这些/DT 贪官/NN 都是/AD 在/AD 慷/VV 国家/NN 之/DEG 慨/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
123	慷慨	True		你这是慷他人之慨。	慷慨	SimplexWord	SPLIT	慷	慨	慷慨+Lemma+SimplexWord+SPLIT+Head:慷+Tail:慨	他PRO人之DE	他:PRO+之:DE	PRONOUN_DE		0.6666666666666666	你/PN 这是/AD 慷/NR 他人/NN 之/DEG 慨/NN 。/PU	2	5	NR	NN	separate_tokens	pos_override_by_confidence:0.67;original:head_pos_invalid:NR
124	幽默	True		人生苦短，何不幽他一默。	幽默	SimplexWord	SPLIT	幽	默	幽默+Lemma+SimplexWord+SPLIT+Head:幽+Tail:默	他PRO一NUM	他:PRO+一:NUM	PRONOUN		1.0	人生/NN 苦短/VA ，/PU 何不/AD 幽/VV 他/PN 一/CD 默/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
125	滑稽	True		这种说法简直是滑天下之大稽。	滑稽	SimplexWord	SPLIT	滑	稽	滑稽+Lemma+SimplexWord+SPLIT+Head:滑+Tail:稽	天CLF下CLF之DE大MOD	天:CLF+下:CLF+之:DE+大:MOD	QUANTIFIER		1.0	这种/DT 说法/NN 简直/AD 是/VC 滑天下之大稽/VV 。/PU	4	4	VV	VV	same_token	pos_valid
126	小便	True		刚刚去厕所小了一次便。	小便	Modifier-Head	SPLIT	小	便	小便+Lemma+Modifier-Head+SPLIT+Head:小+Tail:便	了ASPECT一NUM次CLF	了:ASPECT+一:NUM+次:CLF	ASPECT_QUANT		1.0	刚刚/AD 去/VV 厕所/NN 小/VA 了/AS 一次/AD 便/VA 。/PU	3	6	VA	VA	separate_tokens	pos_valid
127	大便	True		如果不舒服，可能大不出来便。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便	不RES出来	不:RES	RESULTATIVE		0.3333333333333333	如果/CS 不/AD 舒服/VA ，/PU 可能/VV 大/VA 不/AD 出来/VV 便/VA 。/PU	5	8	VA	VA	separate_tokens	pos_valid
128	军训	True		大一新生刚军完了训。	军训	Modifier-Head	SPLIT	军	训	军训+Lemma+Modifier-Head+SPLIT+Head:军+Tail:训	完RES了ASPECT	完:RES+了:ASPECT	ASPECT		1.0	大一/NN 新生/NN 刚/AD 军/VV 完/VV 了/AS 训/VV 。/PU	3	6	VV	VV	separate_tokens	pos_valid
129	体检	True		入职前体了个检，所幸一切正常。	体检	Modifier-Head	SPLIT	体	检	体检+Lemma+Modifier-Head+SPLIT+Head:体+Tail:检	了ASPECT个CLF	了:ASPECT+个:CLF	ASPECT		1.0	入职/VV 前/LC 体/VV 了/AS 个/M 检/NN ，/PU 所幸/AD 一切/PN 正常/VA 。/PU	2	5	VV	NN	separate_tokens	pos_valid
130	同学	True		我和他虽然同过三年学，但不熟。	同学	Modifier-Head	SPLIT	同	学	同学+Lemma+Modifier-Head+SPLIT+Head:同+Tail:学	过ASPECT三NUM年CLF	过:ASPECT+三:NUM+年:CLF	ASPECT_QUANT		1.0	我/PN 和/CC 他/PN 虽然/CS 同/AD 过/VV 三年/NT 学/NN ，/PU 但/AD 不/AD 熟/VA 。/PU	4	7	AD	NN	separate_tokens	pos_valid
131	散步	True		晚饭后我们去散散步。	散步	Verb-Object	REDUP	散	步	散步+Lemma+Verb-Object+REDUP+Head:散+Tail:步			REDUP_SKIP		1.0	晚饭/NN 后/LC 我们/PN 去/VV 散散步/VV 。/PU	4	4	VV	VV	same_token	pos_valid
132	见面	True		好久不见，咱们见一见面吧。	见面	Verb-Object	REDUP	见	面	见面+Lemma+Verb-Object+REDUP+Head:见+Tail:面			REDUP_SKIP		1.0	好久/AD 不见/VV ，/PU 咱们/PN 见/VV 一/CD 见面/VV 吧/SP 。/PU	1	6	VV	VV	separate_tokens	pos_valid
133	聊天	True		周末找个咖啡馆聊聊天。	聊天	Verb-Object	REDUP	聊	天	聊天+Lemma+Verb-Object+REDUP+Head:聊+Tail:天			REDUP_SKIP		1.0	周末/NT 找/VV 个/M 咖啡馆/NN 聊聊天/VV 。/PU	4	4	VV	VV	same_token	pos_valid
134	睡觉	True		困了就去睡一睡觉休息一下。	睡觉	Verb-Object	REDUP	睡	觉	睡觉+Lemma+Verb-Object+REDUP+Head:睡+Tail:觉			REDUP_SKIP		1.0	困/VA 了/AS 就/AD 去/VV 睡/VV 一/CD 睡觉/VV 休息/VV 一下/AD 。/PU	4	6	VV	VV	separate_tokens	pos_valid
135	把脉	True		医生给他把把脉。	把脉	Verb-Object	REDUP	把	脉	把脉+Lemma+Verb-Object+REDUP+Head:把+Tail:脉			REDUP_SKIP		1.0	医生/NN 给/P 他/PN 把把脉/VV 。/PU	3	3	VV	VV	same_token	pos_valid
136	洗澡	True		身上脏了，去洗洗澡。	洗澡	Verb-Object	REDUP	洗	澡	洗澡+Lemma+Verb-Object+REDUP+Head:洗+Tail:澡			REDUP_SKIP		1.0	身上/NN 脏/VA 了/SP ，/PU 去/VV 洗洗澡/VV 。/PU	5	5	VV	VV	same_token	pos_valid
137	鼓掌	True		观众为精彩的表演鼓了鼓掌。	鼓掌	Verb-Object	REDUP	鼓	掌	鼓掌+Lemma+Verb-Object+REDUP+Head:鼓+Tail:掌			REDUP_SKIP		1.0	观众/NN 为/P 精彩/VA 的/DEC 表演/NN 鼓/VV 了/AS 鼓掌/NN 。/PU	5	7	VV	NN	separate_tokens	pos_valid
138	敲门	True		狼外婆敲了敲门。	敲门	Verb-Object	REDUP	敲	门	敲门+Lemma+Verb-Object+REDUP+Head:敲+Tail:门			REDUP_SKIP		1.0	狼/NN 外婆/NN 敲/VV 了/AS 敲门/NN 。/PU	2	4	VV	NN	separate_tokens	pos_valid
139	把关	True		你可得好好给咱们女儿把把关呐。	把关	Verb-Object	REDUP	把	关	把关+Lemma+Verb-Object+REDUP+Head:把+Tail:关			REDUP_SKIP		1.0	你/PN 可得/VV 好好/AD 给/P 咱们/PN 女儿/NN 把把关/VV 呐/SP 。/PU	6	6	VV	VV	same_token	pos_valid
140	拌嘴	True		小两口偶尔拌拌嘴很正常。	拌嘴	Verb-Object	REDUP	拌	嘴	拌嘴+Lemma+Verb-Object+REDUP+Head:拌+Tail:嘴			REDUP_SKIP		1.0	小两口/NN 偶尔/AD 拌拌嘴/VV 很/AD 正常/VA 。/PU	2	2	VV	VV	same_token	pos_valid
141	打球	True		他周末喜欢打打球。	打球	Verb-Object	REDUP	打	球	打球+Lemma+Verb-Object+REDUP+Head:打+Tail:球			REDUP_SKIP		1.0	他/PN 周末/NT 喜欢/VV 打打球/VV 。/PU	3	3	VV	VV	same_token	pos_valid
142	看病	True		我们要带奶奶去看看病。	看病	Verb-Object	REDUP	看	病	看病+Lemma+Verb-Object+REDUP+Head:看+Tail:病			REDUP_SKIP		1.0	我们/PN 要/VV 带/VV 奶奶/NN 去/VV 看看病/VV 。/PU	5	5	VV	VV	same_token	pos_valid
143	开会	True		我们来开开会商讨一下。	开会	Verb-Object	REDUP	开	会	开会+Lemma+Verb-Object+REDUP+Head:开+Tail:会			REDUP_SKIP		1.0	我们/PN 来/VV 开开会/VV 商讨/VV 一下/AD 。/PU	2	2	VV	VV	same_token	pos_valid
144	输液	True		只是要输输液而已。	输液	Verb-Object	REDUP	输	液	输液+Lemma+Verb-Object+REDUP+Head:输+Tail:液			REDUP_SKIP		1.0	只是/AD 要/VV 输输液/VV 而已/SP 。/PU	2	2	VV	VV	same_token	pos_valid
145	游泳	True		他等下要去游游泳。	游泳	Verb-Object	REDUP	游	泳	游泳+Lemma+Verb-Object+REDUP+Head:游+Tail:泳			REDUP_SKIP		1.0	他/PN 等/VV 下/AD 要/VV 去/VV 游游泳/VV 。/PU	5	5	VV	VV	same_token	pos_valid
146	请客	True		该你请请客了。	请客	Verb-Object	REDUP	请	客	请客+Lemma+Verb-Object+REDUP+Head:请+Tail:客			REDUP_SKIP		1.0	该/VV 你/PN 请请客/VV 了/SP 。/PU	2	2	VV	VV	same_token	pos_valid
147	放假	True		给孩子们放放假吧。	放假	Verb-Object	REDUP	放	假	放假+Lemma+Verb-Object+REDUP+Head:放+Tail:假			REDUP_SKIP		1.0	给/P 孩子/NN 们/NN 放放假/VV 吧/SP 。/PU	3	3	VV	VV	same_token	pos_valid
148	加班	True		要辛苦你加加班了。	加班	Verb-Object	REDUP	加	班	加班+Lemma+Verb-Object+REDUP+Head:加+Tail:班			REDUP_SKIP		1.0	要/VV 辛苦/VV 你/PN 加加班/VV 了/SP 。/PU	3	3	VV	VV	same_token	pos_valid
154	走路	False	COINCIDENCE	我走在乡间的小路上。	走路	Verb-Object	SPLIT	走	路	走路+Lemma+Verb-Object+SPLIT+Head:走+Tail:路	在乡间的DE小MOD	的:DE+小:MOD	MODIFIER_DE		0.4	我/PN 走/VV 在/P 乡间/NN 的/DEG 小路/NN 上/LC 。/PU	1	5	VV	NN	separate_tokens	pos_valid
155	跑步	False	COINCIDENCE	他跑完了这一步棋。	跑步	Verb-Object	SPLIT	跑	步	跑步+Lemma+Verb-Object+SPLIT+Head:跑+Tail:步	完RES了ASPECT这DEM一NUM	完:RES+了:ASPECT+这:DEM+一:NUM	ASPECT		1.0	他/PN 跑完/VV 了/AS 这/DT 一/CD 步/M 棋/NN 。/PU	1	5	VV	M	separate_tokens	pos_valid
157	上网	False	COINCIDENCE	蜘蛛爬上了高高的网架。	上网	Verb-Object	SPLIT	上	网	上网+Lemma+Verb-Object+SPLIT+Head:上+Tail:网	了ASPECT高MOD高MOD的DE	了:ASPECT+高:MOD+高:MOD+的:DE	ASPECT		1.0	蜘蛛/NN 爬上/VV 了/AS 高高/JJ 的/DEG 网架/NN 。/PU	1	5	VV	NN	separate_tokens	pos_valid
162	写字	False	COINCIDENCE	请在纸上写下你的名字。	写字	Verb-Object	SPLIT	写	字	写字+Lemma+Verb-Object+SPLIT+Head:写+Tail:字	下CLF你PRO的DE名	下:CLF+你:PRO+的:DE	QUANTIFIER		0.75	请/VV 在/P 纸/NN 上/LC 写下/VV 你/PN 的/DEG 名字/NN 。/PU	4	7	VV	NN	separate_tokens	pos_valid
170	聊天	False	COINCIDENCE	英国的人喜欢聊天气。	聊天	Verb-Object	WHOLE	聊	天	聊天+Lemma+Verb-Object+WHOLE+Head:聊+Tail:天			EMPTY		0.5	英国/NR 的/DEG 人/NN 喜欢/VV 聊/VV 天气/NN 。/PU	4	5	VV	NN	separate_tokens	pos_valid
179	拜年	False	COINCIDENCE	礼拜天年轻人都在休息。	拜年	Verb-Object	SPLIT	拜	年	拜年+Lemma+Verb-Object+SPLIT+Head:拜+Tail:年	天CLF	天:CLF	QUANTIFIER		1.0	礼拜天/NT 年轻人/NN 都/AD 在/AD 休息/VV 。/PU	0	1	NT	NN	separate_tokens	pos_override_by_confidence:1.00;original:head_pos_invalid:NT
187	告状	False	COINCIDENCE	他详细报告了目前的状况。	告状	Verb-Object	SPLIT	告	状	告状+Lemma+Verb-Object+SPLIT+Head:告+Tail:状	了ASPECT目前的DE	了:ASPECT+的:DE	ASPECT		0.5	他/PN 详细/AD 报告/VV 了/AS 目前/NT 的/DEG 状况/NN 。/PU	2	6	VV	NN	separate_tokens	pos_valid
193	吃醋	False	COINCIDENCE	你吃饺子不配醋吗？	吃醋	Verb-Object	SPLIT	吃	醋	吃醋+Lemma+Verb-Object+SPLIT+Head:吃+Tail:醋	饺子TIME不RES配	子:TIME+不:RES	RESULTATIVE		0.5	你/PN 吃/VV 饺子/NN 不配/VV 醋/NN 吗/SP ？/PU	1	4	VV	NN	separate_tokens	pos_valid
212	值班	False	COINCIDENCE	他值得全班的表扬。	值班	Verb-Object	SPLIT	值	班	值班+Lemma+Verb-Object+SPLIT+Head:值+Tail:班	得RES全	得:RES	RESULTATIVE		0.5	他/PN 值得/VV 全班/NN 的/DEG 表扬/NN 。/PU	1	2	VV	NN	separate_tokens	pos_valid
223	吃苦	False	COINCIDENCE	他吃了一口苦瓜。	吃苦	Verb-Object	SPLIT	吃	苦	吃苦+Lemma+Verb-Object+SPLIT+Head:吃+Tail:苦	了ASPECT一NUM口CLF	了:ASPECT+一:NUM+口:CLF	ASPECT_QUANT		1.0	他/PN 吃/VV 了/AS 一/CD 口/M 苦瓜/NN 。/PU	1	5	VV	NN	separate_tokens	pos_valid
261	将军	False	COINCIDENCE	我们将军法处置，严惩不贷。	将军	PseudoV-O	WHOLE	将	军	将军+Lemma+PseudoV-O+WHOLE+Head:将+Tail:军			EMPTY		0.5	我们/PN 将/BA 军法/NN 处置/VV ，/PU 严惩不贷/VV 。/PU	1	2	BA	NN	separate_tokens	pos_valid
266	小便	False	CROSS_CONST	贪小便宜吃大亏。	吃亏	Verb-Object	SPLIT	吃	亏	吃亏+Lemma+Verb-Object+SPLIT+Head:吃+Tail:亏	大MOD	大:MOD	MODIFIER		1.0	贪/VV 小便宜/NN 吃/VV 大/JJ 亏/NN 。/PU	2	4	VV	NN	separate_tokens	pos_valid
267	大便	False	COINCIDENCE	父亲18岁大的时候便去广东了。	大便	Modifier-Head	SPLIT	大	便	大便+Lemma+Modifier-Head+SPLIT+Head:大+Tail:便	的DE时TIME候	的:DE+时:TIME	UNKNOWN		0.6666666666666666	父亲/NN 18岁/NT 大/VA 的/DEC 时候/NN 便/AD 去/VV 广东/NR 了/SP 。/PU	2	5	VA	AD	separate_tokens	pos_override_by_confidence:0.67;original:tail_pos_blacklisted:AD
